class,filename,match,part,split,reason
Bacterial_Leaf_Blight,Leaf_Blight__CDDM_4.jpg,yes,leaf,ref,"The leaf shows yellowing and browning lesions with characteristic discoloration spreading along the leaf blade; consistent with the water-soaked to yellow-orange stripe symptoms described for Bacterial Leaf Blight."
Bacterial_Leaf_Blight,Mild_Bacterial_Blight__SBRD_180.jpg,no,leaf,rejected,"The leaf shown appears uniformly green without any visible water-soaked streaks; grayish-white lesions; yellow-orange stripes; or bacterial ooze characteristic of Bacterial Leaf Blight."
Bacterial_Leaf_Blight,Mild_Bacterial_Blight__SBRD_274.jpg,no,leaf,rejected,"The leaf shown appears green and healthy without the characteristic water-soaked streaks; grayish-white lesions; wavy-margined yellow-orange stripes; or bacterial ooze droplets described for Bacterial Leaf Blight."
Bacterial_Leaf_Blight,Leaf_Blight__CDDM_13.jpg,yes,stem,ref,"The image shows brownish; water-soaked lesions and discoloration at the node/stem area of what appears to be a rice plant; consistent with bacterial blight infection spreading along the stem and leaf sheath."
Bacterial_Leaf_Blight,Severe_Bacterial_Blight__SBRD_225.jpg,yes,leaf,ref,"The image shows rice leaves with reddish-brown to necrotic streaks along the leaf margins with a wavy pattern; consistent with the characteristic lesions and stripe symptoms described for Bacterial Leaf Blight caused by Xanthomonas oryzae pv. oryzae."
Bacterial_Leaf_Blight,Mild_Bacterial_Blight__SBRD_128.jpg,yes,leaf,ref,"The image shows a brownish-yellow lesion on a leaf margin consistent with bacterial leaf blight infection; displaying the characteristic discoloration and necrotic spotting described in the disease profile."
Bacterial_Leaf_Blight,Severe_Bacterial_Blight__SBRD_187.jpg,yes,leaf,ref,"The image shows rice leaves with characteristic yellow-orange streaking and lesions progressing from the leaf tip toward the base with wavy margins; consistent with Bacterial Leaf Blight caused by Xanthomonas oryzae pv. oryzae."
Bacterial_Leaf_Blight,Bacterial_Leaf_Blight__BDCropVegeta_1663.jpg,yes,leaf,ref,"The image shows a rice leaf with yellowing; browning; and necrotic lesions progressing from the leaf tip with characteristic wavy margins; consistent with Bacterial Leaf Blight caused by Xanthomonas oryzae pv. oryzae."
Bacterial_Leaf_Blight,Severe_Bacterial_Blight__SBRD_201.jpg,yes,leaf,test,"The image shows a rice leaf with yellow-orange streaking and necrotic lesions progressing along the leaf blade with characteristic wavy margins; consistent with Bacterial Leaf Blight symptoms caused by Xanthomonas oryzae pv. oryzae."
Bacterial_Leaf_Blight,Leaf_Blight__CDDM_56.jpg,yes,stem,ref,"The image shows a green stem with brownish; water-soaked lesions and discoloration consistent with bacterial blight infection affecting the stem/vascular tissue; as described in Bacterial Leaf Blight symptoms."
Bacterial_Leaf_Blight,Bacterial_Leaf_Blight__CDDM_1446.jpg,no,leaf,rejected,"The leaves in the image appear uniformly green without the characteristic water-soaked streaks; grayish-white lesions; yellow-orange stripes; or wavy-margined lesions associated with Bacterial Leaf Blight."
Bacterial_Leaf_Blight,Severe_Bacterial_Blight__SBRD_214.jpg,no,stem,rejected,"The image shows a brown; dry stem or straw-like structure among green grass without visible water-soaked lesions; wavy-margined yellowing; or bacterial ooze characteristic of Bacterial Leaf Blight."
Bacterial_Leaf_Blight,Severe_Bacterial_Blight__SBRD_295.jpg,yes,leaf,test,"The image shows rice leaves with brownish-yellow discoloration and necrotic lesions spreading from the leaf margins and tips; consistent with the characteristic symptoms of Bacterial Leaf Blight."
Bacterial_Leaf_Blight,Bacterial_Leaf_Blight__BDCropVegeta_343.jpg,yes,stem,ref,"The image shows yellowing/browning discoloration and lesions on the rice stem and leaf sheath consistent with bacterial blight symptoms; including the characteristic tan-brown necrotic areas described in the disease profile."
