class,filename,match,part,split,reason
Anthracnose,Mango_Leaf_247.jpg,no,leaf,rejected,"The image shows a yellowed leaf with irregular holes and minor discoloration but lacks the characteristic brown to deep brown sunken spots; red halos; or dark lesions typical of Anthracnose infection as described."
Anthracnose,Mango_Leaf_444.jpg,yes,leaf,ref,"The leaf shows irregular brown lesions and spots scattered across the surface; consistent with anthracnose symptoms including oval to irregular brown spots and marginal lesions as described for mango anthracnose."
Anthracnose,Mango_Leaf_14.jpg,yes,leaf,ref,"The leaf shows browning and necrotic lesions consistent with anthracnose symptoms; including irregular brown discoloration and tissue breakdown typical of Colletotrichum infection on mango leaves."
Anthracnose,Mango_Leaf_24.jpg,yes,leaf,ref,"The leaf shows irregular brown to dark brown sunken lesions and spots consistent with anthracnose symptoms; including larger coalescing necrotic patches and smaller discrete spots scattered across the leaf surface."
Anthracnose,Mango_Leaf_147.jpg,yes,leaf,ref,"The leaf shows brown discoloration and irregular lesions consistent with anthracnose symptoms; including the characteristic brown sunken spots and tissue necrosis described for this disease."
Anthracnose,Mango_Leaf_164.jpg,no,leaf,rejected,"The leaf appears uniformly brown and dried/desiccated without the characteristic dark sunken spots; irregular lesions with red halos; or other specific anthracnose symptoms described; it looks more like general leaf senescence or desiccation."
Anthracnose,Mango_Leaf_383.jpg,yes,leaf,ref,"The leaf displays irregular; dark brown to black sunken lesions scattered across the surface; consistent with Anthracnose symptoms of oval or irregular brown to deep brown spots on mango leaves."
Anthracnose,Mango_Leaf_288.jpg,yes,stem,ref,"The image shows a yellowed leaf with a dark brown; sunken; necrotic lesion on the attached stem/petiole; consistent with Anthracnose symptoms including brown to dark lesions and twig/stalk dieback described in the disease profile."
Anthracnose,Mango_Leaf_166.jpg,yes,pod,ref,"The pod shows dark; sunken; irregular lesions with browning and surface cracking consistent with Anthracnose symptoms described for fruit/pods; including depressed dark patches and tissue damage."
Anthracnose,Mango_Leaf_4.jpg,yes,leaf,test,"The image shows a leaf with brown discoloration; irregular sunken lesions; and necrotic spots consistent with Anthracnose symptoms including oval to irregular brown lesions and tissue deterioration described in the disease profile."
Anthracnose,Mango_Leaf_462.jpg,yes,pod,ref,"The image shows a bean pod with dark brown to black sunken lesions and irregular blotches consistent with Anthracnose symptoms described; including depressed dark lesions on the pod surface."
Anthracnose,Mango_Leaf_473.jpg,no,leaf,rejected,"The leaf appears uniformly yellowed/chlorotic without the characteristic brown to deep brown sunken spots; irregular lesions; or red halos associated with Anthracnose symptoms."
Anthracnose,Mango_Leaf_182.jpg,yes,leaf,test,"The leaf shows irregular brown spots and lesions scattered across the surface; consistent with anthracnose symptoms of oval to irregular brown lesions on leaf tissue."
