class,filename,match,part,split,reason
Alternaria_Black_Molds_Stem_Cankers,Bugwood_5.jpg,yes,stem,ref,"The image shows a stem with dark discoloration; tissue breakdown; and white mycelial growth consistent with Alternaria or sooty mold stem canker symptoms at the soil line."
Alternaria_Black_Molds_Stem_Cankers,Bugwood_4.jpg,yes,stem,ref,"The image shows a stem with dark; necrotic canker lesions at the base characteristic of Alternaria black mold/stem canker infection; with browning and decay extending from the soil line upward."
Alternaria_Black_Molds_Stem_Cankers,Bugwood_13.jpg,yes,stem,ref,"The microscopic image shows multi-septate; club-shaped conidia characteristic of Alternaria species; consistent with the fungal pathogen responsible for Alternaria black molds and stem cankers."
Alternaria_Black_Molds_Stem_Cankers,Bugwood_18.jpg,yes,stem,test,"The image shows dark black necrotic tissue with fuzzy fungal sporulation on what appears to be a stem canker; consistent with Alternaria or black mold infection causing stem canker symptoms."
Alternaria_Black_Molds_Stem_Cankers,Bugwood_14.jpg,yes,stem,test,"The microscopic image shows multicellular; muriform conidia with brown pigmentation characteristic of Alternaria species; which are the causative agents of Alternaria black molds and stem cankers."
Alternaria_Black_Molds_Stem_Cankers,Bugwood_6.jpg,yes,stem,test,"The microscopic image shows multi-septate; club-shaped Alternaria conidia (spores) with characteristic muriform cells; consistent with Alternaria fungal pathogens responsible for black molds and stem cankers."
Alternaria_Black_Molds_Stem_Cankers,Bugwood_8.jpg,yes,stem,test,"The microscopic image shows multi-celled; muriform Alternaria conidia with characteristic segmentation and beak-like appendages; consistent with the Alternaria fungal pathogen responsible for black molds and stem cankers."
Alternaria_Black_Molds_Stem_Cankers,Bugwood_15.jpg,no,leaf,rejected,"The image shows a leaf (likely tomato) with localized lesions and chlorotic areas; which may suggest early blight or another leaf spot disease; but the primary plant part shown is a leaf rather than a stem with canker symptoms typical of Alternaria stem canker."
Alternaria_Black_Molds_Stem_Cankers,Bugwood_3.jpg,yes,stem,test,"The microscopic image shows Alternaria-type conidia (multicellular; ovoid spores) and conidiophores consistent with Alternaria species responsible for black mold and stem canker diseases."
Alternaria_Black_Molds_Stem_Cankers,Bugwood_7.jpg,yes,stem,skipped,"The image shows a plant stem with dark; necrotic canker lesions and dieback consistent with Alternaria or black mold stem canker symptoms; including browning; shriveled tissue; and discoloration at the stem nodes."
Alternaria_Black_Molds_Stem_Cankers,Bugwood_19.jpg,yes,stem,skipped,"The microscopic image shows dark fungal sporulation (conidia and conidiophores consistent with Alternaria spp.) colonizing plant stem tissue; with blackened mold growth visible on the surface characteristic of black mold/Alternaria stem canker symptoms."
Alternaria_Black_Molds_Stem_Cankers,Bugwood_10.jpg,yes,stem,skipped,"The microscopic image shows multicellular; septate Alternaria conidia with the characteristic muriform (both transverse and longitudinal septa) and club-shaped morphology consistent with Alternaria species responsible for black molds and stem cankers."
Alternaria_Black_Molds_Stem_Cankers,Bugwood_2.jpg,yes,stem,skipped,"The microscopic image shows a multi-septate; club-shaped Alternaria conidiophore with characteristic muriform (brick-like) conidia; which is the causative fungal pathogen associated with Alternaria black molds and stem cankers."
Alternaria_Black_Molds_Stem_Cankers,Bugwood_11.jpg,no,stem,rejected,"The image shows a microscopic view of what appears to be a fungal spore or oomycete structure (possibly a sporangium with zoospores); not macroscopic stem canker symptoms characteristic of Alternaria or black mold infections on plant tissue."
Alternaria_Black_Molds_Stem_Cankers,Bugwood_9.jpg,yes,stem,skipped,"The image shows a stem with dark; necrotic canker lesions and browning/blackening tissue at the soil line; consistent with Alternaria black mold stem canker symptoms."
Alternaria_Black_Molds_Stem_Cankers,Bugwood_16.jpg,yes,pod,ref,"The image shows a green pepper fruit (pod) with dark brown to black necrotic lesions at the stem attachment site; consistent with Alternaria black mold causing stem-end rot and canker-like decay on the fruit."
Alternaria_Black_Molds_Stem_Cankers,Bugwood_17.jpg,no,pod,rejected,"The image shows green bell pepper fruits (pods) with blossom-end rot or fruit rot lesions; not stem cankers caused by Alternaria; making this an unlikely match for Alternaria Black Molds Stem Cankers on a stem tissue."
Alternaria_Black_Molds_Stem_Cankers,Bugwood_1.jpg,no,stem,rejected,"The image shows a microscopic view of multicellular fungal spores (conidia) consistent with Alternaria morphology; not macroscopic stem canker symptoms on a plant."
Alternaria_Black_Molds_Stem_Cankers,Bugwood_12.jpg,yes,stem,skipped,"The microscopic image shows Alternaria-like conidia (multicellular; muriform spores) and septate conidiophores consistent with Alternaria species associated with black molds and stem cankers."
Anthracnose,Bugwood_5.jpg,yes,pod,ref,"The pepper fruit shows large; dark; sunken lesions with concentric zonation and tissue collapse characteristic of anthracnose caused by Colletotrichum spp."
Anthracnose,Bugwood_4.jpg,yes,seed,ref,"The microscopic image shows hyaline; ellipsoidal to fusiform conidia characteristic of Colletotrichum species; the causal agents of Anthracnose disease."
Anthracnose,Bugwood_13.jpg,yes,pod,ref,"The bell pepper fruit shows a characteristic anthracnose lesion with a circular; sunken; water-soaked area with a darker necrotic center; which is typical of Colletotrichum-caused anthracnose on pepper fruits."
Anthracnose,Bugwood_18.jpg,yes,pod,ref,"The image shows a tomato fruit with a concentric ring lesion and sunken; water-soaked center characteristic of anthracnose caused by Colletotrichum species."
Anthracnose,Bugwood_14.jpg,yes,seed,ref,"The image shows seeds or fruit tissue with dark acervuli (fungal fruiting bodies with setae) and cream-colored sporulation masses consistent with Colletotrichum anthracnose infection."
Anthracnose,Bugwood_16.jpg,yes,pod,test,"The pepper fruit displays large; dark; sunken lesions with concentric rings and dark sporulation characteristic of anthracnose caused by Colletotrichum species."
Anthracnose,Bugwood_8.jpg,yes,stem,ref,"The image shows dark; spiny acervuli (fungal fruiting bodies with setae) characteristic of Colletotrichum or related anthracnose pathogens erupting through orange-colored plant tissue; consistent with anthracnose infection."
Anthracnose,Bugwood_15.jpg,yes,stem,ref,"The image shows dark acervuli and fungal sporulation with necrotic tissue on what appears to be a stem or bark surface; consistent with anthracnose infection caused by Colletotrichum or related fungi."
Anthracnose,Bugwood_2.jpg,yes,pod,test,"The pepper fruits display characteristic anthracnose symptoms including dark; sunken; water-soaked lesions with concentric rings caused by Colletotrichum species."
Anthracnose,Bugwood_7.jpg,yes,seed,ref,"The image shows fusiform/elliptical conidia (approximately 12–18 µm) consistent with Colletotrichum or related anthracnose-causing fungi; which are typically identified by their characteristic spore morphology under microscopy."
Anthracnose,Bugwood_10.jpg,yes,pod,test,"The tomato fruit displays large; sunken; dark lesions with concentric rings and fungal sporulation characteristic of Anthracnose (Colletotrichum spp.) infection on fruit."
Anthracnose,Bugwood_3.jpg,yes,stem,ref,"The image shows close-up microscopic view of plant tissue with dark acervuli and characteristic reddish-brown necrotic lesions consistent with Anthracnose infection caused by Colletotrichum species."
