class,filename,match,part,split,reason
Anthracnose,PlantWild_23.jpg,yes,pod,ref,"The banana fruits display black; sunken lesions consistent with anthracnose symptoms; including dark necrotic areas spreading across the green fruit surface as described in the disease profile."
Anthracnose,PlantWild_12.jpg,yes,pod,ref,"The green banana fruits display numerous small black spots and lesions consistent with early-stage Anthracnose symptoms described as black lesions on green fruit caused by Colletotrichum musae."
Anthracnose,PlantWild_24.jpg,yes,seed,ref,"The banana fruit shows characteristic anthracnose symptoms including black; sunken lesions on the yellow skin and severe dark necrotic areas consistent with the described Colletotrichum infection on banana fruit."
Anthracnose,PlantWild_68.jpg,yes,pod,ref,"The bananas display characteristic anthracnose symptoms including multiple black; sunken lesions on the yellow fruit surface consistent with the disease description."
Anthracnose,PlantWild_47.jpg,yes,pod,ref,"The banana fruit displays dark black sunken lesions with irregular patches consistent with anthracnose symptoms; matching the description of black sunken lesions that increase in size on yellow fruit."
Anthracnose,PlantWild_43.jpg,yes,pod,ref,"The banana fruits display large; dark brown to black sunken lesions characteristic of anthracnose; consistent with the described symptoms of expanding dark lesions on yellowing fruit."
Anthracnose,PlantWild_53.jpg,yes,pod,test,"The banana fruit on the left shows dark brown to black sunken lesions consistent with anthracnose symptoms; including the characteristic dark discoloration and spotting described for the disease."
Anthracnose,PlantWild_25.jpg,yes,pod,test,"The bananas display characteristic anthracnose symptoms including dark black sunken lesions on the fruit surface; consistent with the described black; sunken lesions caused by Colletotrichum musae infection."
Anthracnose,PlantWild_13.jpg,yes,pod,test,"The banana fruit shows dark brown/black sunken lesions consistent with anthracnose symptoms; particularly the extensive black necrotic lesions visible on the lower fruit which match the described disease progression."
Anthracnose,PlantWild_56.jpg,yes,seed,ref,"The bananas show progressive development of dark brown/black sunken lesions characteristic of anthracnose; with lesions enlarging over time and becoming severely necrotic by days 9-10; consistent with the described symptoms of Colletotrichum anthracnose on banana fruit."
Anthracnose,PlantWild_4.jpg,yes,pod,test,"The green banana fruits display dark brown/black sunken lesions characteristic of anthracnose infection as described; consistent with early-stage symptoms on green fruit."
Anthracnose,PlantWild_5.jpg,yes,pod,test,"The banana fruits display large; black sunken lesions and extensive dark discoloration consistent with anthracnose symptoms; including the spreading black necrotic patches on the fruit surface described in the disease profile."
Anthracnose,PlantWild_41.jpg,yes,pod,skipped,"The bananas display extensive black; sunken lesions and dark discoloration consistent with Anthracnose symptoms; including the characteristic darkening and necrotic patches described for banana fruit anthracnose caused by Colletotrichum species."
Anthracnose,PlantWild_35.jpg,yes,pod,skipped,"The green banana fruit displays multiple large; black; sunken lesions with dark necrotic centers consistent with anthracnose symptoms caused by Colletotrichum musae on banana fruit."
Anthracnose,PlantWild_26.jpg,yes,pod,skipped,"The banana fruits display characteristic anthracnose symptoms including dark brown to black sunken lesions scattered across the yellow fruit surface; consistent with the described Colletotrichum-caused anthracnose disease."
Anthracnose,PlantWild_59.jpg,yes,pod,skipped,"The banana fruits display characteristic anthracnose symptoms including black; sunken lesions on the fruit surface that are consistent with the described dark brown/black lesions enlarging on ripening yellow fruit."
Anthracnose,PlantWild_67.jpg,no,seed,rejected,"The image shows green; apparently healthy banana fruits without the characteristic black sunken lesions; dark brown/black spots; or orange fungal growth associated with anthracnose disease."
Anthracnose,PlantWild_48.jpg,yes,pod,skipped,"The banana fruits display classic anthracnose symptoms including extensive black; sunken lesions with dark necrotic tissue and fungal growth (acervuli/spore masses) concentrated at the tips and spreading along the fruit surface; consistent with Colletotrichum musae infection."
Anthracnose,PlantWild_27.jpg,yes,pod,skipped,"The banana fruits display characteristic anthracnose symptoms including black; sunken lesions with dark necrotic areas spreading across the yellow fruit surface; consistent with the described disease progression."
Anthracnose,PlantWild_40.jpg,yes,seed,ref,"The banana fruit displays large; dark brown to black sunken lesions with irregular spreading margins consistent with anthracnose symptoms caused by Colletotrichum musae; matching the described black sunken lesions that increase in size on ripening fruit."
Anthracnose,PlantWild_39.jpg,yes,seed,ref,"The banana fruit displays scattered dark brown/black spots and a prominent black sunken lesion at the stem end; consistent with Anthracnose symptoms including dark lesions that increase in size and are associated with premature ripening."
Anthracnose,PlantWild_54.jpg,yes,whole_plant,ref,"The image shows banana fruits with progressively enlarging dark brown/black sunken lesions consistent with anthracnose symptoms; illustrating disease severity progression from small spots (0.5) to extensive blackening (64.0)."
Anthracnose,PlantWild_7.jpg,yes,pod,skipped,"The bananas display extensive black; sunken lesions with whitish-gray fungal growth (spore masses/acervuli) consistent with anthracnose symptoms; including dark necrotic areas spreading across the fruit surface as described."
Anthracnose,PlantWild_51.jpg,yes,seed,ref,"The bananas display progressive black; sunken lesions and dark discoloration on the fruit surface consistent with anthracnose symptoms; shown at different stages of severity from early spotting to severe blackening."
Anthracnose,PlantWild_36.jpg,yes,pod,skipped,"The banana fruit shows dark brown/black sunken lesions with enlarging spots consistent with anthracnose symptoms; including the characteristic circular dark lesions that develop on ripening fruit as described."
Anthracnose,PlantWild_3.jpg,yes,seed,skipped,"The image shows bananas with dark; sunken lesions and discoloration consistent with anthracnose symptoms including black spots and premature ripening as described in the disease profile."
Anthracnose,PlantWild_8.jpg,yes,pod,skipped,"The banana fruit tip shows extensive black; sunken lesions with visible fungal mycelium (white; web-like growth) consistent with anthracnose symptoms described; including dark necrotic lesions spreading from the tip on an otherwise yellow fruit."
Anthracnose,PlantWild_57.jpg,yes,pod,skipped,"The image shows green banana fruits with dark; sunken lesions at the tips and surface; consistent with wound anthracnose symptoms caused by Colletotrichum species; matching the described black sunken lesions associated with handling and transportation injuries."
Anthracnose,PlantWild_11.jpg,yes,seed,skipped,"The bananas display characteristic anthracnose symptoms including dark brown/black sunken lesions on the fruit surface; with one large coalesced black necrotic lesion consistent with advanced anthracnose infection as described."
Anthracnose,PlantWild_1.jpg,yes,seed,skipped,"The bananas show dark black sunken lesions and spots on the peel consistent with anthracnose symptoms; including the characteristic black lesions associated with Colletotrichum infection on banana fruit."
Anthracnose,PlantWild_71.jpg,yes,pod,skipped,"The bananas display black; sunken lesions and dark discoloration consistent with Anthracnose symptoms; including widespread dark brown/black lesions and apparent fungal progression visible on the fruit surfaces."
Anthracnose,PlantWild_49.jpg,yes,seed,skipped,"The banana fruit shows dark brown to black sunken lesions consistent with anthracnose symptoms; including the characteristic spreading dark spots that increase in size; matching the disease description of black sunken lesions on ripening banana fruit."
Anthracnose,PlantWild_16.jpg,yes,pod,skipped,"The green banana fruits display small dark/black spots and lesions on their surface; consistent with early-stage anthracnose symptoms described as dark lesions on green fruit."
