class,filename,match,part,split,reason
Anthracnose_Leaf_Spot_And_Top_Dieback,Corn_Disease_52.jpeg,yes,leaf,ref,"The leaf displays elongated necrotic lesions with dark brown/purple margins and yellowing (chlorosis) along the midrib; consistent with anthracnose leaf spot symptoms including coalescing lesions that blight large areas of the leaf tissue."
Anthracnose_Leaf_Spot_And_Top_Dieback,Corn_Disease_107.jpg,no,seed,rejected,"The image shows a healthy; mature corn ear with yellow kernels and no visible lesions; dark margins; or fungal fruiting structures characteristic of Anthracnose Leaf Spot and Top Dieback."
Anthracnose_Leaf_Spot_And_Top_Dieback,Corn_Disease_10.jpg,yes,stem,ref,"The stems show dark black lesions and necrotic tissue with internal browning and discoloration consistent with anthracnose stalk/top dieback symptoms caused by Colletotrichum graminicola."
Anthracnose_Leaf_Spot_And_Top_Dieback,Corn_Disease_42.jpg,no,pod,rejected,"The image shows a mature corn ear (pod/cob) with dried husks in a post-harvest field; displaying no leaf lesions; stem dieback; or the characteristic oval/spindle-shaped tan lesions with dark margins and black acervuli associated with Anthracnose Leaf Spot and Top Dieback."
Anthracnose_Leaf_Spot_And_Top_Dieback,Corn_Disease_93.jpg,yes,whole_plant,ref,"The image shows corn plants with extensive brown to reddish-purple discoloration and blighting of upper leaves and stem consistent with anthracnose top dieback; where the dark purplish-brown necrosis progresses up the stalk and causes leaf blight as described."
Anthracnose_Leaf_Spot_And_Top_Dieback,Corn_Disease_112.jpg,no,whole_plant,rejected,"The image shows a field of severely lodged; dry; and senescent corn plants with no visible anthracnose-specific symptoms such as oval/spindle-shaped lesions with dark margins or black acervuli on leaf tissue."
Anthracnose_Leaf_Spot_And_Top_Dieback,Corn_Disease_48.jpg,no,whole_plant,rejected,"The image shows a field of completely dead; dried corn stalks and leaves (likely post-harvest residue or severe drought damage) without the characteristic oval/spindle-shaped lesions with dark margins or black spiny acervuli associated with Anthracnose Leaf Spot and Top Dieback."
Anthracnose_Leaf_Spot_And_Top_Dieback,Corn_Disease_59.jpg,yes,stem,ref,"The microscopic image shows black; spiny acervuli with setae (characteristic fruiting structures of anthracnose) embedded in orange-brown necrotic plant tissue; consistent with the described black spiny fruiting structures developing on dead tissue in Anthracnose Leaf Spot and Top Dieback."
Anthracnose_Leaf_Spot_And_Top_Dieback,Corn_Disease_66.jpg,yes,whole_plant,ref,"The image shows severely blighted corn plants with widespread tan/brown necrotic leaves that have withered and dried; consistent with advanced anthracnose leaf blight where lesions have merged and caused extensive leaf death progressing up the plant."
Anthracnose_Leaf_Spot_And_Top_Dieback,Corn_Disease_18.jpg,yes,stem,ref,"The image shows a corn stem with brown discoloration; necrotic lesions; and dark margins characteristic of anthracnose stalk rot/top dieback; consistent with Colletotrichum graminicola infection; along with yellowing/bleaching of adjacent leaf tissue."
Anthracnose_Leaf_Spot_And_Top_Dieback,Corn_Disease_89.jpg,yes,whole_plant,ref,"The image shows corn plants with characteristic anthracnose top dieback symptoms; including brown/tan withered leaves and stalk death in the upper canopy consistent with Colletotrichum graminicola infection causing top dieback while surrounding plants remain green."
Anthracnose_Leaf_Spot_And_Top_Dieback,Corn_Disease_60.jpg,yes,stem,ref,"The stems display extensive black necrotic lesions with yellow-tan mottling consistent with anthracnose top dieback; where dark fungal lesions colonize and blacken the stalk tissue as described for this disease."
Anthracnose_Leaf_Spot_And_Top_Dieback,Corn_Disease_21.jpg,no,leaf,rejected,"The leaf shows yellowing margins; water-soaked necrosis along the edge; and scattered brown spots; but lacks the characteristic oval/spindle-shaped tan lesions with dark brown or purple margins and black spiny acervuli (setae) associated with Anthracnose Leaf Spot; the symptoms are more consistent with another disease such as bacterial leaf streak or Goss's wilt."
