class,filename,match,part,split,reason
Anthracnose,Soybean_Dise_54.jpg,yes,stem,ref,"The stems display dark; blackened discoloration with what appear to be black acervuli (fruiting bodies) and necrotic lesions consistent with Anthracnose infection on stem tissue."
Anthracnose,Soybean_Dise_67.jpg,yes,stem,ref,"The soybean stem shows brown to dark irregular lesions with discoloration consistent with anthracnose stem cankers; and small dark fruiting bodies (acervuli) are visible on the infected stem tissue."
Anthracnose,Soybean_Dise_30.jpg,yes,whole_plant,ref,"The image shows soybean plants with wilted; curled; and desiccated leaves along with darkened petioles showing a shepherd's crook appearance and brown necrotic tissue; consistent with Anthracnose symptoms including petiole browning; leaf curling; and premature defoliation."
Anthracnose,Soybean_Dise_55.jpg,yes,leaf,ref,"The leaf shows small reddish-brown circular lesions and the petiole exhibits a shepherd's crook appearance with dark discoloration; which are consistent with Anthracnose symptoms described including vein reddening and curling of affected leaves."
Anthracnose,Soybean_Dise_37.jpg,yes,whole_plant,ref,"The image shows a soybean field with a distinct band of dead; brown; prematurely defoliated plants consistent with anthracnose-induced premature defoliation and plant death described in the disease profile."
Anthracnose,Soybean_Dise_6.jpg,no,pod,rejected,"The image shows mature; dry soybean pods at harvest maturity with typical golden-brown coloration but lacks the characteristic dark irregular lesions; black acervuli with setae; or sunken cankers associated with Anthracnose infection."
Anthracnose,Soybean_Dise_17.jpg,yes,stem,ref,"The stems show dark; irregular lesions with black fruiting bodies (acervuli) scattered along the surface; consistent with Anthracnose symptoms including the characteristic dark spots on soybean stems alongside shriveled pods."
Anthracnose,Soybean_Dise_51.jpg,yes,stem,ref,"The stems display dark discoloration; whitish bleaching; and small black fruiting bodies (acervuli) consistent with Anthracnose infection; along with dried pods and roots visible at one end."
Anthracnose,Soybean_Dise_61.jpg,yes,stem,ref,"The image shows a stem with dark reddish-brown discoloration and hairy texture alongside leaves with reddened veins; consistent with Anthracnose symptoms including dark lesions on stems and vein reddening on leaves."
Anthracnose,Soybean_Dise_45.jpg,yes,pod,ref,"The image shows soybean pods that are shriveled; dried; and discolored with dark lesions consistent with Anthracnose infection; including the characteristic browning; shriveling; and darkening of pod tissue described in the disease profile."
Anthracnose,Soybean_Dise_23.jpg,yes,pod,ref,"The soybean pods and stem show dark irregular black lesions and discoloration consistent with Anthracnose (Colletotrichum truncatum); including the characteristic dark blotching on pod surfaces with hairy texture typical of infected soybean pods."
Anthracnose,Soybean_Dise_71.jpg,no,pod,rejected,"The image shows a dry; matured; hairy soybean pod that has naturally senesced without visible dark lesions; black acervuli; setae; or other anthracnose symptoms described in the disease profile."
Anthracnose,Soybean_Dise_63.jpg,yes,whole_plant,ref,"The image shows a soybean field with widespread premature defoliation; brown shriveled tissue; and dying branches consistent with anthracnose infection causing stem and pod blight with characteristic wilting and tissue necrosis across the canopy."
Anthracnose,Soybean_Dise_44.jpg,yes,stem,test,"The stem shows dark irregular lesions with black acervuli (fruiting bodies) and visible setae (tiny black spines) characteristic of Anthracnose infection on soybean stems."
Anthracnose,Soybean_Dise_48.jpg,yes,whole_plant,ref,"The image shows a soybean field with a distinct patch of severely wilted; brown; and prematurely defoliated plants consistent with anthracnose-related premature defoliation and canopy dieback; surrounded by healthy green plants."
Anthracnose,Soybean_Dise_66.jpg,no,pod,rejected,"The image shows mature; dry soybean pods at harvest with typical senescence browning but lacks the characteristic dark irregular lesions; black acervuli with setae; or sunken cankers associated with Anthracnose infection."
Anthracnose,Soybean_Dise_32.jpg,yes,pod,ref,"The image shows soybean stems and pods with dark black lesions; black fruiting bodies (acervuli); and discolored tissue consistent with Anthracnose symptoms including black speckling on stems and pod discoloration."
Anthracnose,Soybean_Dise_60.jpg,no,pod,rejected,"The image shows mature; dry soybean pods at harvest maturity with typical golden-brown coloration but lacks the characteristic dark irregular lesions; black acervuli with setae; or sunken cankers associated with anthracnose infection."
Anthracnose,Soybean_Dise_78.jpg,yes,stem,test,"The stems show dark; irregular lesions with numerous black fruiting bodies (acervuli) densely covering the surface; consistent with Anthracnose symptoms including crowded black structures on infected stem tissue."
Anthracnose,Soybean_Dise_10.jpg,yes,stem,test,"The stems display characteristic dark irregular lesions with numerous black acervuli (fruiting bodies) scattered across the bleached/necrotic tissue; consistent with Anthracnose symptoms described including black pycnidia-like structures on infected stem tissue."
Bacterial_Blight,Soybean_Dise_17.jpg,yes,leaf,ref,"The soybean leaves display angular; vein-limited lesions with dark necrotic centers surrounded by yellowish-green halos; consistent with bacterial blight symptoms as described."
Bacterial_Blight,Soybean_Dise_56.jpg,yes,leaf,ref,"The soybean leaves display angular; necrotic lesions surrounded by yellowish-green halos with darkened centers and some ragged tissue dropout; which are classic symptoms of bacterial blight caused by Pseudomonas savastanoi pv. glycinea."
Bacterial_Blight,Soybean_Dise_131.jpg,yes,leaf,ref,"The soybean leaves show angular; water-soaked lesions with yellowish-green halos and browning necrotic tissue consistent with bacterial blight caused by Pseudomonas savastanoi pv. glycinea."
Bacterial_Blight,Soybean_Dise_23.jpg,yes,leaf,ref,"The soybean leaves display angular; water-soaked lesions surrounded by yellowish-green halos with browning necrotic centers that merge into larger dead patches; consistent with bacterial blight caused by Pseudomonas savastanoi pv. glycinea."
Bacterial_Blight,Soybean_Dise_61.jpg,yes,leaf,ref,"The soybean leaf shows angular; necrotic lesions with browning at the edges and dead tissue that has fallen out giving a ragged; shot-hole appearance; consistent with bacterial blight symptoms where dead tissue drops out leaving irregular holes."
Bacterial_Blight,Soybean_Dise_169.jpg,yes,leaf,test,"The soybean leaf displays angular; water-soaked lesions with yellowish-green halos surrounding dark brown necrotic spots; consistent with bacterial blight symptoms as described."
Bacterial_Blight,Soybean_Dise_139.jpg,no,leaf,rejected,"The image shows numerous small; round to oval lesions with dark centers surrounded by yellow halos that are not angular or vein-limited; and the pattern is more consistent with Septoria brown spot (Septoria glycines) than bacterial blight; which typically produces angular; water-soaked lesions with yellowish-green halos and ragged tissue dropout."
Bacterial_Blight,Soybean_Dise_125.jpg,yes,leaf,test,"The leaf displays angular; vein-limited lesions with yellow-green halos surrounding dark necrotic spots that are merging into larger dead patches; consistent with bacterial blight symptoms on soybean."
Bacterial_Blight,Soybean_Dise_29.jpg,yes,leaf,test,"The leaves show angular; necrotic lesions with dead tan-brown tissue and ragged edges where tissue has fallen out; consistent with bacterial blight symptoms including large dead patches and the characteristic ragged appearance described."
Bacterial_Blight,Soybean_Dise_118.jpg,yes,leaf,skipped,"The soybean leaves show angular lesions with dead tissue that has fallen out creating a ragged appearance; consistent with bacterial blight symptoms where necrotic tissue drops out leaving irregular holes along the leaf midrib and veins."
Bacterial_Blight,Soybean_Dise_191.jpg,yes,leaf,skipped,"The leaves display angular; water-soaked lesions with yellowish-green halos that have turned brown and necrotic; merging into larger dead patches; which is consistent with the described bacterial blight symptoms."
Bacterial_Blight,Soybean_Dise_159.jpg,no,leaf,rejected,"The soybean leaves shown appear largely healthy and green with only very minor; indistinct spotting; lacking the characteristic angular water-soaked lesions; yellow-to-brown necrotic spots; yellowish-green halos; and ragged tissue dropout associated with bacterial blight."
Bacterial_Blight,Soybean_Dise_141.jpg,yes,leaf,skipped,"The soybean leaves display small; angular; water-soaked to necrotic spots with yellowish-green halos and darkened centers consistent with bacterial blight symptoms; though some lesions also resemble Septoria brown spot as noted in the description."
Bacterial_Blight,Soybean_Dise_217.jpg,yes,leaf,skipped,"The soybean leaves show angular; water-soaked lesions with yellowish-green halos surrounding darkened necrotic spots; and some ragged leaf margins where dead tissue has fallen out; all consistent with bacterial blight symptoms."
Bacterial_Blight,Soybean_Dise_176.jpg,yes,leaf,skipped,"The soybean leaves display angular; brown necrotic lesions surrounded by yellowish-green halos with dead tissue falling out giving a ragged appearance; all consistent with bacterial blight symptoms described."
Bacterial_Blight,Soybean_Dise_110.jpg,yes,leaf,skipped,"The leaf displays multiple small angular lesions with yellowish-green halos surrounding darkened necrotic centers; consistent with bacterial blight symptoms described; though some lesions also resemble brown spot; the angular; halo-ringed spots and ragged leaf margins support a bacterial blight diagnosis."
Bacterial_Blight,Soybean_Dise_157.jpg,no,whole_plant,rejected,"The image is too dark and low-resolution to clearly identify any specific disease symptoms such as angular water-soaked spots; yellow-brown lesions; or yellowish-green halos characteristic of Bacterial Blight; only general plant canopy and stems are visible."
Bacterial_Blight,Soybean_Dise_172.jpg,yes,leaf,skipped,"The soybean leaf displays multiple small; angular lesions with dark necrotic centers surrounded by yellowish-green halos; consistent with bacterial blight symptoms as described."
Bacterial_Blight,Soybean_Dise_103.jpg,yes,leaf,skipped,"The soybean leaves show small angular lesions with yellowish-green halos and water-soaked spots consistent with bacterial blight symptoms as described."
Bacterial_Blight,Soybean_Dise_9.jpg,yes,leaf,skipped,"The soybean leaves display angular; dark brown necrotic lesions surrounded by yellowish-green halos that merge into large dead patches; which are characteristic symptoms of bacterial blight as described."
Bacterial_Pustule,Soybean_Dise_75.jpg,yes,leaf,ref,"The image shows a close-up of a leaf surface with multiple dark brown necrotic lesions that have raised; pustule-like centers consistent with bacterial pustule symptoms; and under magnification the lesions appear to have irregular crack-like openings on their surfaces as described."
Bacterial_Pustule,Soybean_Dise_137.jpg,yes,leaf,ref,"The soybean leaves display numerous small reddish-brown spots with yellowish halos scattered across the upper leaf surface; consistent with bacterial pustule lesions showing minimal water-soaking and the characteristic lesion pattern described."
Bacterial_Pustule,Soybean_Dise_100.jpg,yes,leaf,ref,"The soybean leaf displays numerous small dark brown lesions with yellowish halos scattered across the surface; consistent with bacterial pustule's characteristic small spots with raised centers and surrounding chlorosis on leaf tissue."
Bacterial_Pustule,Soybean_Dise_62.jpg,yes,leaf,ref,"The close-up image shows a leaf surface with dark brown raised lesions/pustules scattered across the green tissue; consistent with bacterial pustule's characteristic small raised centers and lesions that can appear cracked under magnification."
Bacterial_Pustule,Soybean_Dise_76.jpg,no,leaf,rejected,"The leaf shows numerous yellow chlorotic spots with dark reddish-brown centers characteristic of soybean rust (Phakopsora pachyrhizi) rather than bacterial pustule; which would feature small raised pustules/blisters predominantly on the undersides of leaves without the prominent yellow halo pattern seen here."
Bacterial_Pustule,Soybean_Dise_11.jpg,yes,leaf,ref,"The close-up image shows a leaf surface with raised; blister-like pustules exhibiting cracked surfaces and brown discoloration consistent with bacterial pustule lesions as described; including the characteristic crack openings visible under magnification."
Bacterial_Pustule,Soybean_Dise_17.jpg,yes,leaf,test,"The leaf shows numerous small dark pustule-like spots scattered across the surface along with irregular brown lesions and shot-hole damage consistent with bacterial pustule infection on soybean leaves."
Bacterial_Pustule,Soybean_Dise_110.jpg,no,leaf,rejected,"The image shows a chalkboard with handwritten notes about plant disease questions; not any plant tissue exhibiting bacterial pustule symptoms."
Bacterial_Pustule,Soybean_Dise_32.jpg,yes,leaf,test,"The close-up microscopic image shows raised; dark pustule-like lesions with crack openings on the leaf surface surrounded by yellowing/browning tissue; consistent with bacterial pustule symptoms including the characteristic tan/dark bumps visible under magnification."
