class,filename,match,part,split,reason
Black_Scurf,Scurf__Bugwood_21.jpg,no,whole_plant,rejected,"The image shows a whole sweet potato (Ipomoea batatas) plant with green lobed leaves and fibrous roots but no visible black sclerotia; brown cankers; stem lesions; or other symptoms characteristic of Black Scurf (Rhizoctonia solani)."
Black_Scurf,Scurf__Bugwood_39.jpg,yes,root,ref,"The harvested sweet potato tubers display irregular dark brown to blackish adherent masses on their surfaces consistent with Rhizoctonia solani sclerotia (black scurf); along with skin lesions and discoloration characteristic of this disease."
Black_Scurf,Black_Scurf__BDCropVegeta_38.jpg,yes,seed,ref,"The potato tuber surface shows multiple irregular dark brown to black sclerotia (hard masses) adhering tightly to the skin; consistent with the classic 'dirt that doesn't wash off' appearance of Black Scurf caused by Rhizoctonia solani."
Black_Scurf,Scurf__Bugwood_22.jpg,yes,root,ref,"The image shows sweet potato/yam tubers with dark brown to black irregular sclerotia adhering to the surface; consistent with Black Scurf (Rhizoctonia solani) symptoms described as hard black-brown masses on the tuber surface."
Black_Scurf,Black_Scurf__BDCropVegeta_44.jpg,yes,seed,ref,"The image shows a potato tuber with irregular; dark black to brown hard masses (sclerotia) adhering tightly to the tuber surface; consistent with the classic Black Scurf symptoms caused by Rhizoctonia solani."
Black_Scurf,Scurf__Bugwood_29.jpg,yes,root,ref,"The sweet potato tuber surface shows irregular dark brown to black sclerotia (scurf) and discolored patches consistent with Rhizoctonia solani Black Scurf; appearing as superficial adherent masses on the tuber skin."
Black_Scurf,Black_Scurf__BDCropVegeta_2.jpg,yes,seed,ref,"The potato tuber surface shows numerous irregular black to dark brown hard masses (sclerotia) adhering tightly to the skin; which is the hallmark symptom of Black Scurf (Rhizoctonia solani) described as 'the dirt that doesn't wash off'."
Black_Scurf,Scurf__Bugwood_17.jpg,yes,root,ref,"The harvested sweet potato tubers display irregular dark brown to black sclerotia adhering tightly to the tuber surfaces; consistent with the black scurf (Rhizoctonia solani) description of hard masses that resemble 'dirt that doesn't wash off'."
Black_Scurf,Scurf__Bugwood_30.jpg,yes,root,ref,"The sweet potato tuber in the center shows a large; dark reddish-brown sunken lesion on the surface consistent with Rhizoctonia (Black Scurf) cankers/sclerotia; which are dry and adherent to the tuber skin as described."
Black_Scurf,Black_Scurf__BDCropVegeta_9.jpg,yes,seed,ref,"The potato tubers display irregular; dark brown to black sclerotia (hard masses) adhering tightly to the tuber surface; consistent with Black Scurf (Rhizoctonia solani) as described."
