Filtering questions containing the word 'disease'
Total rows kept: 2014

Total unique crop-disease pairs: 1167

===== CROP | DISEASE | COUNT =====
Alfalfa | Alfalfa dwarf | 1
Alfalfa | Alfalfa mosaic | 1
Alfalfa | Anthracnose | 1
Alfalfa | Avoid mowing when the plants are wet to prevent disease spread. | 2
Alfalfa | Bacterial leaf spot | 3
Alfalfa | Bacterial wilt | 3
Alfalfa | Common leaf spot | 3
Alfalfa | Cut the crop before major losses occur. | 1
Alfalfa | Downy mildew | 3
Alfalfa | During cool, wet weather or periods of high humidity. | 1
Alfalfa | Improve drainage to prevent waterlogging. | 1
Alfalfa | Keep watching and take off any affected leaves | 1
Alfalfa | Lepto leaf spot | 3
Alfalfa | None of these fungicides are effective | 1
Alfalfa | Phytophthora root and stem rot | 1
Alfalfa | Plant resistant cultivars to reduce disease impact. | 1
Alfalfa | Prompt cutting of the plant to reduce loss in yield and quality. | 1
Alfalfa | Remove grassy weeds to minimize sharpshooter breeding sites. | 1
Alfalfa | The lower right cross-section | 1
Alfalfa | Use fungicides to eliminate the virus. | 1
Alfalfa | Witches'-broom | 2
Almond | Almond leaf scorch | 2
Almond | Bacterial canker | 2
Almond | Bacterial hyperplastic canker | 1
Almond | Bacterial spot | 1
Almond | Brown line and decline | 3
Almond | Cold frosty and wet weather during flowering | 1
Almond | Cold, frosty, and wet weather during bloom. | 1
Almond | Crown gall | 1
Almond | European stone fruit yellows | 1
Almond | Foamy canker | 2
Almond | Fruit mummies left on trees and twig cankers. | 1
Almond | Give less water during hull split to lower stress and disease | 1
Almond | Hull rot | 2
Almond | Improve air movement to reduce relative humidity in the orchard. | 1
Almond | Leave fallen leaves and debris on the ground to decompose naturally. | 1
Almond | Protect scars and wounds on tree stems and leaves. | 1
Almond | Purchase trees from a reputable nursery and handle them carefully to avoid injury during planting and the tree’s life. | 1
Almond | Reduce irrigation at hull split to manage disease and stress. | 1
Almond | Two types of fungicide that stop growth and block energy | 1
Aloe | Bacterial blight and rot | 1
Aloe | Cool weather with less rainfall. | 1
Amaranth | Bacterial leaf spot | 1
Amaranth | Cool temperatures between 50 to 75˚ F. | 1
Apple | Apple proliferation | 3
Apple | Apple scab | 3
Apple | Apply phosphite fungicides and fixed copper early in the season. | 1
Apple | Apply tetracycline regularly to eliminate the pathogen. | 2
Apple | Apply urea to chopped leaf litter. | 1
Apple | Applying urea to chopped leaf litter. | 1
Apple | Black rot | 3
Apple | Blister spot | 3
Apple | Blossom blast | 1
Apple | Cedar apple rust | 3
Apple | Crown gall | 1
Apple | Fire blight | 3
Apple | Flyspeck | 3
Apple | Hairy root | 1
Apple | In late winter when the tree and bacteria are dormant. | 1
Apple | It allows for better air circulation, reducing moisture on leaves. | 1
Apple | It improves air flow and lowers moisture on leaves. | 1
Apple | It leads to lush shoots that are easily infected. | 1
Apple | It promotes excessive succulent growth that is highly vulnerable to infection. | 1
Apple | It survives in buds or debris and spreads by water in wet weather. | 2
Apple | Make the cut at least 8 inches below the discolored bark of a canker. | 1
Apple | Phytophthora crown and root rot | 3
Apple | Powdery mildew | 3
Apple | Prune out dead or diseased branches. | 1
Apple | Prune trees to improve air flow. | 1
Apple | Pruning trees to allow better air movement. | 1
Apple | Raking up and destroying fallen leaves before winter. | 2
Apple | Removal of infected trees from the orchard. | 1
Apple | Remove brown, woody galls from juniper and cedar in late winter. | 1
Apple | Remove infected trees from the orchard. | 1
Apple | Removing brown, woody galls from juniper and rees in late winter. | 1
Apple | The fungus spends part of its life cycle on them. | 1
Apple | The fungus that infects trees spends part of its life cycle on juniper trees. | 1
Apple | Use alternative antibiotics to streptomycin during bloom. | 2
Apple | Use phosphite fungicides and fixed copper at early growth stages. | 1
Apple | When temperatures are below 0°C. | 2
Apricot | Apply fungicides in early summer in areas with early outbreaks, and postharvest in areas with late-season outbreaks. | 1
Apricot | Armillaria root rot | 2
Apricot | Bacterial canker and blast | 3
Apricot | Bacterial spot | 1
Apricot | Brown rot blossom | 1
Apricot | Crown gall | 2
Apricot | Every 14 days or less if rainfall persists. | 1
Apricot | Frequent rain and cool temperatures in spring. | 1
Apricot | Fumigate soil before planting to suppress ring nematodes. | 2
Apricot | Give water only once in a while to keep the soil dry | 1
Apricot | Light sandy soil where ring nematodes are found | 1
Apricot | Light, sandy soils with ring nematode presence. | 1
Apricot | Phytophthora root and crown rot | 1
Apricot | Powdery mildew | 1
Apricot | Rainy and cool weather in the spring | 1
Apricot | Ripe fruit rot | 1
Apricot | Rust | 1
Apricot | Treat the soil before planting to lower nematode levels | 1
Apricot | Treat the soil before planting to reduce nematodes | 1
Apricot | Watering the trees infrequently to reduce moisture levels. | 1
Artichoke | Botrytis rot or gray mold | 2
Artichoke | Ensure soil is light, well-drained, and fertile. | 1
Artichoke | Frequent rainfall and high humidity levels. | 1
Artichoke | Rainy weather with lots of moisture in the air | 1
Artichoke | Use soil that is light drains well and has good nutrients | 1
Arugula | Cool weather with high moisture levels. | 1
Arugula | High humidity and cool temperatures. | 1
Arugula | Rotate with non-cruciferous crops to break the disease cycle. | 1
Arugula | Use crop rotation with unrelated plant types | 1
Arugula | White rust | 2
Asparagus | Asparagus rust | 1
Asparagus | Avoid overhead watering to reduce leaf wetness. | 1
Asparagus | Cercospora Blight | 2
Asparagus | Do not spray water from above to keep leaves dry | 1
Asparagus | High humidity and wet conditions. | 1
Asparagus | Wet weather with lots of moisture in the air | 1
Avocado | Alga | 1
Avocado | Algae | 1
Avocado | Algal leaf spot | 3
Avocado | Anthracnose | 3
Avocado | Bacterial blast and fruit spot | 1
Avocado | Bacterial canker | 1
Avocado | High moisture and warm temperatures with frequent rain. | 1
Avocado | High moisture and warm weather with frequent rain. | 1
Avocado | In areas with low water pressure in the irrigation system. | 1
Avocado | Keep fruit cool and dry to avoid decay. | 1
Avocado | Keep harvested fruit dry and cool to prevent decay. | 1
Avocado | Prune dead twigs before fungal spores are produced. | 1
Avocado | Prune trees and increase spacing for better airflow. | 2
Avocado | Pruning trees and increasing spacing to enhance airflow. | 2
Avocado | Remove dead twigs before spores are produced. | 1
Avocado | Scab | 3
Banana | Anthracnose | 3
Banana | Bacterial finger-tip rot | 3
Banana | Bacterial wilt | 3
Banana | Bagging the inflorescence with polyethylene. | 1
Banana | Banana mosaic | 3
Banana | Black sigatoka | 3
Banana | Blood disease | 3
Banana | Bunchy top | 3
Banana | By soil rainwater and sick plant parts underground | 1
Banana | Cigar end rot | 3
Banana | Contaminated soil and infected rhizomes. | 1
Banana | Cordana leaf spot | 3
Banana | Cover the flower with a plastic bag | 1
Banana | Dig a trench around diseased plants to retain run-off rain water. | 1
Banana | Dig a trench around the sick plants to catch rain water | 1
Banana | Dip harvested fruit in fungicide after washing. | 1
Banana | Dirty soil and parts of the plant that are already sick | 1
Banana | Frequent rainfall and surface water on fruit. | 1
Banana | Increase plant spacing to improve air circulation. | 1
Banana | Kill diseased plants, including suckers, and burn them on site after they dry. | 1
Banana | Kill the sick plants and their young shoots then burn them after they dry | 1
Banana | Panama disease | 3
Banana | Plant with more space between each plant to let air move | 1
Banana | Rainy weather and water sitting on the fruit | 1
Banana | Remove all the infected leaves and burn them. | 1
Banana | Remove flower parts that can harbor fungal spores. | 1
Banana | Remove the male buds (bell) immediately using a forked stick. | 1
Banana | Remove the male flower right away using a forked stick | 1
Banana | Removing the male flowers as soon as the last female hand emerges. | 1
Banana | Rhizome rot | 2
Banana | Take off the male flowers as soon as the last fruit hand appears | 1
Banana | Take off the sick leaves and burn them | 1
Banana | Through soil, running water, and infected rhizomes. | 1
Banana | Wash the fruit and dip it in a fungicide | 1
Banana | Xanthomonas wilt | 3
Barley | Aster yellows | 2
Barley | Bacterial blight | 3
Barley | Bacterial leaf blight | 2
Barley | Barley stripe | 1
Barley | Barley yellow dwarf | 3
Barley | Black chaff | 2
Barley | Common root rot | 1
Barley | Covered smut | 1
Barley | Ergot | 3
Barley | Fusarium head blight | 2
Barley | Loose smut | 3
Barley | Net blotch | 2
Barley | Powder mildew | 3
Basil | Cercospora leaf spot | 3
Basil | Downy mildew | 3
Basil | Gray mold | 3
Basil | Leaf spot | 3
Bean | Alternaria leaf spot | 1
Bean | Anthracnose | 3
Bean | Bacterial blight | 3
Bean | Bacterial brown spot | 3
Bean | Bacterial leaf spot | 1
Bean | Bacterial wilt | 3
Bean | Bean rust | 3
Bean | Black root rot | 3
Bean | Damping-off | 3
Bean | Fusarium root rot | 2
Bean | Halo blight | 3
Bean | Mosaic | 3
Bean | White mold | 3
Beet | Bacterial blight | 3
Beet | Bacterial leaf spot | 3
Beet | Bacterial pocket | 1
Beet | Bacterial scab | 2
Beet | Bacterial vascular necrosis and rot | 3
Beet | Beet curly top disease | 3
Beet | Beet western yellows virus | 3
Beet | Cercospora leaf spot | 3
Beet | Damping off | 3
Beet | Downy mildew | 3
Beet | Fusarium yellows and root rot | 3
Beet | Powdery mildew | 3
Beet | Yellow wilt | 2
Blackberry | Avoid planting in infected areas for at least three years. | 1
Blackberry | Blackberry rosette | 3
Blackberry | Botrytis fruit rot | 2
Blackberry | Cane and Leaf Rust | 3
Blackberry | Cool and wet conditions with high humidity. | 1
Blackberry | Crown gall | 3
Blackberry | Flowers with distorted petals and enlarged sepals. | 1
Blackberry | Formation of galls with a rough surface and spongy texture. | 1
Blackberry | Infected canes crack and dry, while leaves develop spots and dry off. | 1
Blackberry | Leaves develop small, lemon-yellow pustules. | 1
Blackberry | Prune out and burn infected cane and leaves. | 1
Blackberry | Remove and destroy abnormal blossom clusters. | 1
Blackberry | Splitting the planting in two and alternating harvests. | 1
Blackberry | They act as a reservoir for the disease. | 1
Blackberry | They hold onto the disease and keep it in the area | 1
Blackberry | Through wounds caused by pruning or wind damage. | 1
Blackberry | Use trellises or train the vines to improve air circulation. | 1
Blackberry | Using a biological control agent containing a nonpathogenic strain of Agrobacterium. | 1
Blueberry | Bees carrying spores from sick to healthy flowers. | 1
Blueberry | Bees transferring the fungus from infected to healthy flowers. | 1
Blueberry | Botrytis blossom blight | 1
Blueberry | Brown lesions on leaves that have come into contact with infected blossoms. | 1
Blueberry | Leaf midribs and veins turn brown quickly, then shoots die. | 1
Blueberry | Leaves become puckered, develop chlorotic spots with red borders, and may drop from the plant. | 1
Blueberry | Leaves pucker, show yellow spots with red edges, and may fall off. | 1
Blueberry | Mummy berry | 3
Blueberry | Powdery mildew | 3
Blueberry | Prolonged wet periods lasting several days or more. | 1
Blueberry | Rapid browning of leaf midribs and veins, followed by shoot death. | 1
Blueberry | Remove or bury mummified fruit under at least one inch of soil. | 1
Blueberry | Removing or burying mummified fruit under at least an inch of soil. | 1
Blueberry | Stem canker | 1
Blueberry | The fungus damages the corolla, preventing pollination and fruit development. | 1
Blueberry | They become cream or pink in color, then turn tan or gray. | 1
Blueberry | They turn cream or pink, then fade to tan or gray. | 1
Blueberry | Warm, dry conditions. | 1
Blueberry | Warm, dry weather. | 1
Blueberry | White fluffy growth on the upper surfaces of leaves. | 1
Blueberry | White fluffy growth shows on upper leaf surfaces. | 1
Bougainvillea | Bacterial leaf spot | 1
Broccoli | Alternaria leaf spot | 3
Broccoli | Black rot | 1
Broccoli | Clean up all plant parts left in the field after harvest | 1
Broccoli | Cool and wet weather | 2
Broccoli | Cool, moist conditions. | 2
Broccoli | Downy mildew | 3
Broccoli | Fruits | 1
Broccoli | Fruits. | 1
Broccoli | Grow different crops that are not in the cabbage family | 1
Broccoli | Irregularly shaped dull yellow areas forming V-shaped lesions. | 1
Broccoli | Leaves | 1
Broccoli | Leaves get small dark spots that turn brown or gray | 1
Broccoli | Leaves get small purple spots with wet edges that turn brown | 1
Broccoli | Leaves get small sharp edge spots that turn orange or yellow | 1
Broccoli | Leaves. | 1
Broccoli | Planting only pathogen-free seed. | 1
Broccoli | Remove all crop debris after harvest. | 1
Broccoli | Ring spot | 2
Broccoli | Rotating crops to non-brassicas. | 1
Broccoli | Rotating crops to non-cruciferous plants every 2 years. | 1
Broccoli | Sclerotinia stem rot | 3
